comment,comment_id,name,score,shop_id,shop_url,star,time
今天跟朋友慕名来到蔡澜先生开的港式点心点，进店之前已有很多顾客在等位，生意非常火爆，餐厅装修清新典雅，高大上，菜单上都会标注大小中份，人均消费80元，点了都是镇店招牌，服务小姐姐态度很好，上菜15分钟左右，推荐他们家的山楂包超好好吃😋，在用餐过程中，服务员会送来解腻山楂汁，好贴心的服务，我们四个人吃的好饱，好满足「酥皮山楂叉烧包」「古法马拉糕」「香草脆鲜奶」,0,吃,,112629997,http://evt.dianping.com/synthesislink/5385.html?shopId=112629997,50,2019-03-22 19:03
位于南山区海岸城的蔡澜港式点心，是由美食家蔡澜先生倾心打造的点心店，店内装修很年轻化，除了卡座，还有高脚吧台，显得时尚新潮，活力十足，一开张就是火爆的网红店，成为潮人吃货们的打卡地。他家的招牌酥皮山楂叉烧包真的味道一流，外皮酥软，皮薄馅厚，叉烧馅料肥瘦适中，柔润有汁，加入山楂调味，咸香浓郁之余又有山楂的清新，有效中和油腻，别有一番滋味，十分特别；芙蓉蛋白春卷颜值与内涵俱备，卖相金黄诱人，吃起来外酥里嫩，美味香口；韭黄鲜虾肠粉，肠粉皮薄细腻，隔着晶莹剔透的粉皮，鲜红粉嫩的虾仁清晰可见，虾仁肉质新鲜，Q弹爽滑，肠粉的嫩滑与虾仁的弹牙相映成趣，层次分明，口感丰富。这里的点心摆盘精致，让人不忍心下手，食材也很新鲜，吃的出每款都是用心制作的，而且主打的十款点心都有拼盘可选，简直是选择困难症的福音。,1,Viviensz,,112629997,http://evt.dianping.com/synthesislink/5385.html?shopId=112629997,40,2019-03-21 08:27
「酥皮山楂叉烧包」个个表皮酥脆叉烧肥瘦相宜山楂口感不足「经典三宝拌饭」力推分量只够一个人腊味三宝拌饭咸淡适宜「赛螃蟹凤眼饺」口感一般虾味吃出了腥味「香草脆鲜奶」香草就是盘底那个？口感确实没吃出来鲜奶和表皮还算过关[环境]门店偏小容纳有限吧台吃饭略微尴尬[服务]门口茶水无座等位取号推销注册VIP实际可以不用这点扣掉一个星,2,Riva_6677,,112629997,http://evt.dianping.com/synthesislink/5385.html?shopId=112629997,40,2019-03-17 19:28
每次路过这家门口都大排长龙，这天约了妹妹五点就到店里用餐，这个时间还有很多空位的。 他家菜品还蛮有新意的，颜值也挺高，特别适合拍照发朋友圈。 但是味道嘛，一般，所有的点心都没让我有继续动筷子再吃一个的吸引力，尤其那个抹茶杏汁汤圆，太甜了，入口有种添加剂的味道，比较失望。 综合这家环境、服务和菜品创意、颜值方面还是值得四星，他们的定位应该是更偏向年轻人的，就我来说则更喜欢传统酒楼的点心一些。,3,小辞,,112629997,http://evt.dianping.com/synthesislink/5385.html?shopId=112629997,40,2019-03-17  更新于2019-03-17 11:09
#蔡澜开的点心专门店，吃得精致，又很平民#这家点心专门店刚开的时候真的创了神话，一度刷掉我好几天的朋友圈。直到有一天5点就开始取号，等到7点菜吃上我才知道为什么这么火爆。平民的价格，精致用心的点心，成为他们家翻桌的必要元素。#酥皮叉烧包#酥皮的外表里面叉烧非常新鲜，吃起来绝对不是冻品解冻的叉烧肉，以后来这家店会专门为了这个叉烧包而来~#其他点心#都不踩雷，口味和口感拿捏的很好，不虚夸~唯一不好就是人太多，走翻桌，所以吃下来是不像平常喝茶聊天那么放松的。但是以这价格和品质，值得给满分~📍蔡澜港式点心💰人均80+,4,小花姑娘是我,,112629997,http://evt.dianping.com/synthesislink/5385.html?shopId=112629997,50,2019-03-19 16:10
[环境]餐厅环境又简约墙面又有中国元素觉得有那么点丰子恺的感觉[服务]进店后就像统一培训一样 经过员工身旁都会听到“欢迎光临”但他们都不会看你不过我做为顾客要求每个员工面带笑容 要很认真的把眼神投给顾客 似乎是有点苛求了 可每次遇到这样的情况 当我听到好多人说欢迎光临很不好意思的 看向他们想点头示意时发现他们的眼睛都在看向别处 那种感觉也确实有点怪怪的 总体而言服务培训还不错 进去后很快有员工过来询问并上茶同时也很礼貌和nice「酥皮山楂叉烧包」把叉烧包做成酥皮确实好讨巧 创意特别 就好像把中式的包子外层变成了西式面包🥯里面还有空隙很松软 不过我不太爱吃 觉得叉烧馅儿有点甜腻「赛螃蟹凤眼饺」这个好吃！😋其实我觉得是结合了赛螃蟹和虾饺 里面都是虾肉新鲜好吃所以下次点了这个的话可以不用点虾饺了「香草脆鲜奶」朋友以为是喝的 点多了一份但是挺好吃的 比香港点点心家的炸鲜奶好吃😋奶香味很浓 外脆皮口感也超好「韭黄鲜虾肠粉」我爱吃韭黄所以肯定好吃啦！这个肠粉皮刚好 「豉汁凤爪」点心我爱吃凤爪它的凤爪不会像有些店过份软烂没有嚼劲没有配花生是败笔 但总体还不错哦 「榄角蒸排骨」排骨感觉瘦肉很少 大部分是白肉 朋友说是脆骨 吃起来是挺好吃的 口感很滑 「山楂酒」吃到一半服务员上了两杯小酒 说是送的 happy！其实我以为只是酸梅汁 原来是酒啊还有很多款没吃到 下次再来吃,5,萧墟,,112629997,http://evt.dianping.com/synthesislink/5385.html?shopId=112629997,40,2019-02-28 00:15
[环境]餐厅环境又简约墙面又有中国元素觉得有那么点丰子恺的感觉[服务]进店后就像统一培训一样 经过员工身旁都会听到“欢迎光临”但他们都不会看你不过我做为顾客要求每个员工面带笑容 要很认真的把眼神投给顾客 似乎是有点苛求了 可每次遇到这样的情况 当我听到好多人说欢迎光临很不好意思的 看向他们想点头示意时发现他们的眼睛都在看向别处 那种感觉也确实有点怪怪的 总体而言服务培训还不错 进去后很快有员工过来询问并上茶同时也很礼貌和nice「酥皮山楂叉烧包」把叉烧包做成酥皮确实好讨巧 创意特别 就好像把中式的包子外层变成了西式面包🥯里面还有空隙很松软 不过我不太爱吃 觉得叉烧馅儿有点甜腻「赛螃蟹凤眼饺」这个好吃！😋其实我觉得是结合了赛螃蟹和虾饺 里面都是虾肉新鲜好吃所以下次点了这个的话可以不用点虾饺了「香草脆鲜奶」朋友以为是喝的 点多了一份但是挺好吃的 比香港点点心家的炸鲜奶好吃😋奶香味很浓 外脆皮口感也超好「韭黄鲜虾肠粉」我爱吃韭黄所以肯定好吃啦！这个肠粉皮刚好 「豉汁凤爪」点心我爱吃凤爪它的凤爪不会像有些店过份软烂没有嚼劲没有配花生是败笔 但总体还不错哦 「榄角蒸排骨」排骨感觉瘦肉很少 大部分是白肉 朋友说是脆骨 吃起来是挺好吃的 口感很滑 「山楂酒」吃到一半服务员上了两杯小酒 说是送的 happy！其实我以为只是酸梅汁 原来是酒啊还有很多款没吃到 下次再来吃,6,coolmama,,112629997,http://evt.dianping.com/synthesislink/5385.html?shopId=112629997,40,2019-03-02 12:42
＃我为VIP代言＃闺蜜小聚，选择了这间店。先在网上做了功课，客人很多，要排队等位。所以我们到的比较早，11点之前就来了，还好，正好不用排队，有位。等我们吃好了出来时，外面已经是乌泱泱的一片等位的人了。这间店的位置不是特别好找，找到了以后也觉得还可以。大门上悬挂着蔡澜题字的【想点就點】的横匾。店堂内装修的色彩线条简洁，偏现代风格。用手机扫码餐桌上的二维码后可以直接在手机上点菜下单。买单也是这样用手机直接买就可以了。咨询了一下服务员，也可以用纸质菜单点菜。餐具，白瓷碟上印有蔡澜的“愿你成为最好的女子”。茶具，古香古色。点了普洱茶。芙蓉蛋白春卷春卷的馅很特别，主要有蛋清、虾仁。春卷皮，香酥脆。香草脆鲜奶外面卷着一层类似面包的薄层，里面的鲜奶很嫩滑，微甜。竹叶糯米鸡翠绿的竹叶，包裹着糯米鸡，造型很独特。糯米鸡里的鸡肉很新鲜，好香。大禄腐皮卷腐皮卷里的馅有鲜虾仁、猪肉末等，加的调料很独特，喜欢。鲍鱼盅仔饭一个小炖盅里盛着丝苗米米饭，米饭上盖有一个鲍鱼和三小块猪肉丁，配一小盞鲍鱼汁。一个木质小托盘上放着这盅饭和一只金铜色的小汤匙。摆盘漂亮。鲍鱼和猪肉丁非常入味，好好吃。山楂汁免费送的，每人一小杯。山楂汁里加了香料，有些许辛辣，不过也蛮好喝的。服务一般般。和菜式相比，还是欠缺了些。,7,haonana,,112629997,http://evt.dianping.com/synthesislink/5385.html?shopId=112629997,30,2019-01-11 21:59
地址位于南山区文心四路海岸城购物中心一楼172号铺，二楼是蔡澜越南🇻🇳米粉，一楼是港式点心。最爱吃的是美味鲜竹卷，香草🌿脆鲜奶。这两样是最爱，店铺装修的很精致，透明的厨房能够一目了然的看清厨师工作情况，服务生也很热情，微信关注点餐，旁边书架上有许多蔡澜先生的书可以借阅。一份点心一杯茶一本好书就能够打发一下午的时间。,8,咩@猪,,112629997,http://evt.dianping.com/synthesislink/5385.html?shopId=112629997,50,2019-03-01 11:27
厨房比用餐区还大，一楼是用餐区+明档制作区第二层据说是半成品加工区+两间贵宾房，名为“用心”“无妨”的两间贵宾房。但是我们没有上去参观，只是在这里简单的享受一份精致的中式午餐。是的，吃的感受就是精致！吃货能够体会其中的细节之妙。手工现做 现点现蒸的出品跟批量生产的茶点可完全不同，例如我今天吃的这个三宝饭，其实就是腊味饭，份量很小，吃完也不会有过多负担，米的松散度非常好，有足够米香，以及广式腊肠的鲜香。配的酱汁量比较大，拌的时候先倒一点拌好试试，以免太咸腻。,9,好事都找我,,112629997,http://evt.dianping.com/synthesislink/5385.html?shopId=112629997,40,2019-03-11 20:36
