fuwu,huanjing,kouwei,shop_id,shop_url,star
8.7,8.5,8.8,112226709,http://www.dianping.com/shop/112226709,50
8.8,9.0,8.9,111515699,http://www.dianping.com/shop/111515699,40
8.7,8.5,8.8,112226709,http://www.dianping.com/shop/112226709,50
8.7,8.5,8.8,97429212,http://www.dianping.com/shop/97429212,50
8.7,8.5,8.8,121709696,http://www.dianping.com/shop/121709696,50
8.7,8.5,8.8,122555919,http://www.dianping.com/shop/122555919,50
8.7,8.5,8.8,92497372,http://www.dianping.com/shop/92497372,50
8.7,8.5,8.8,92329372,http://www.dianping.com/shop/92329372,50
8.7,8.5,8.8,67787887,http://www.dianping.com/shop/67787887,50
8.7,8.5,8.8,92763376,http://www.dianping.com/shop/92763376,50
8.7,8.5,8.8,93227294,http://www.dianping.com/shop/93227294,50
8.7,8.5,8.8,121539866,http://www.dianping.com/shop/121539866,50
8.7,8.5,8.8,91606013,http://www.dianping.com/shop/91606013,50
8.7,8.5,8.8,93772945,http://www.dianping.com/shop/93772945,50
8.7,8.5,8.8,125265119,http://www.dianping.com/shop/125265119,50
8.7,8.5,8.8,69489452,http://www.dianping.com/shop/69489452,50
8.7,8.5,8.8,98546557,http://www.dianping.com/shop/98546557,50
8.8,9.0,8.9,111515699,http://www.dianping.com/shop/111515699,40
8.8,9.0,8.9,108332969,http://www.dianping.com/shop/108332969,40
8.8,9.0,8.9,112629997,http://www.dianping.com/shop/112629997,40
8.8,9.0,8.9,123924786,http://www.dianping.com/shop/123924786,40
8.8,9.0,8.9,122010919,http://www.dianping.com/shop/122010919,40
8.8,9.0,8.9,27426644,http://www.dianping.com/shop/27426644,40
8.8,9.0,8.9,15104339,http://www.dianping.com/shop/15104339,40
8.8,9.0,8.9,92760092,http://www.dianping.com/shop/92760092,40
8.8,9.0,8.9,19367925,http://www.dianping.com/shop/19367925,40
8.8,9.0,8.9,76740244,http://www.dianping.com/shop/76740244,40
8.8,9.0,8.9,98320322,http://www.dianping.com/shop/98320322,40
8.8,9.0,8.9,114877734,http://www.dianping.com/shop/114877734,40
8.8,9.0,8.9,97211342,http://www.dianping.com/shop/97211342,40
8.8,9.0,8.9,108225312,http://www.dianping.com/shop/108225312,40
8.8,9.0,8.9,76409903,http://www.dianping.com/shop/76409903,40
8.7,8.5,8.8,112226709,http://www.dianping.com/shop/112226709,50
8.7,8.5,8.8,97429212,http://www.dianping.com/shop/97429212,50
8.7,8.5,8.8,121709696,http://www.dianping.com/shop/121709696,50
8.7,8.5,8.8,122555919,http://www.dianping.com/shop/122555919,50
8.7,8.5,8.8,92497372,http://www.dianping.com/shop/92497372,50
8.7,8.5,8.8,92329372,http://www.dianping.com/shop/92329372,50
8.7,8.5,8.8,67787887,http://www.dianping.com/shop/67787887,50
8.7,8.5,8.8,92763376,http://www.dianping.com/shop/92763376,50
8.7,8.5,8.8,93227294,http://www.dianping.com/shop/93227294,50
8.7,8.5,8.8,121539866,http://www.dianping.com/shop/121539866,50
8.7,8.5,8.8,91606013,http://www.dianping.com/shop/91606013,50
8.7,8.5,8.8,93772945,http://www.dianping.com/shop/93772945,50
8.7,8.5,8.8,125265119,http://www.dianping.com/shop/125265119,50
8.7,8.5,8.8,69489452,http://www.dianping.com/shop/69489452,50
8.7,8.5,8.8,98546557,http://www.dianping.com/shop/98546557,50
8.8,9.0,8.9,111515699,http://www.dianping.com/shop/111515699,40
8.8,9.0,8.9,108332969,http://www.dianping.com/shop/108332969,40
8.8,9.0,8.9,112629997,http://www.dianping.com/shop/112629997,40
8.8,9.0,8.9,123924786,http://www.dianping.com/shop/123924786,40
8.8,9.0,8.9,122010919,http://www.dianping.com/shop/122010919,40
8.8,9.0,8.9,27426644,http://www.dianping.com/shop/27426644,40
8.8,9.0,8.9,15104339,http://www.dianping.com/shop/15104339,40
8.8,9.0,8.9,92760092,http://www.dianping.com/shop/92760092,40
8.8,9.0,8.9,19367925,http://www.dianping.com/shop/19367925,40
8.8,9.0,8.9,76740244,http://www.dianping.com/shop/76740244,40
8.8,9.0,8.9,98320322,http://www.dianping.com/shop/98320322,40
8.8,9.0,8.9,114877734,http://www.dianping.com/shop/114877734,40
8.8,9.0,8.9,97211342,http://www.dianping.com/shop/97211342,40
8.8,9.0,8.9,108225312,http://www.dianping.com/shop/108225312,40
8.8,9.0,8.9,76409903,http://www.dianping.com/shop/76409903,40
